,daci,ain0,ain1
0,0,0.280543999999999,4.581087999999999
1,1,0.295615999999999,4.560991999999999
2,2,0.31068799999999896,4.545919999999999
3,3,0.32575999999999894,4.525823999999998
4,4,0.3408319999999989,4.5057279999999995
5,5,0.3659519999999983,4.4906559999999995
6,6,0.37599999999999945,4.470559999999999
7,7,0.3960959999999982,4.455487999999999
8,8,0.4111679999999982,4.4353919999999984
9,9,0.4262399999999982,4.415295999999998
10,10,0.44131199999999815,4.400223999999998
11,11,0.4614079999999987,4.380127999999999
12,12,0.4764799999999987,4.360031999999999
13,13,0.49657599999999924,4.344959999999999
14,14,0.516671999999998,4.329887999999999
15,15,0.5317439999999998,4.309791999999998
16,16,0.5518399999999986,4.294719999999998
17,17,0.5618879999999997,4.269599999999999
18,18,0.5819839999999985,4.259551999999999
19,19,0.5970559999999985,4.239455999999999
20,20,0.617151999999999,4.224383999999999
21,21,0.632223999999999,4.199263999999999
22,22,0.647295999999999,4.189215999999998
23,23,0.662367999999999,4.164095999999999
24,24,0.6774399999999989,4.149023999999999
25,25,0.6975359999999995,4.133951999999999
26,26,0.7126079999999995,4.118879999999999
27,27,0.7327039999999982,4.098783999999998
28,28,0.7427519999999994,4.0837119999999985
29,29,0.7678719999999988,4.063615999999998
30,30,0.7779199999999982,4.048543999999998
31,31,0.7929919999999981,4.028447999999999
32,32,0.8080639999999981,4.008351999999999
33,33,0.8331839999999993,3.998303999999999
34,34,0.8482559999999992,3.973183999999998
35,35,0.8633279999999992,3.958111999999998
36,36,0.8834239999999998,3.9380159999999993
37,37,0.8984959999999997,3.9229439999999993
38,38,0.9135679999999997,3.9078719999999993
39,39,0.9286399999999997,3.887775999999999
40,40,0.9487359999999985,3.872703999999999
41,41,0.9587839999999996,3.8526079999999983
42,42,0.9788799999999984,3.8375359999999983
43,43,0.998975999999999,3.8224639999999983
44,44,1.014047999999999,3.797343999999999
45,45,1.0341439999999995,3.782271999999999
46,46,1.0492159999999995,3.767199999999999
47,47,1.0642879999999995,3.7471039999999984
48,48,1.0793599999999994,3.7320319999999985
49,49,1.1044799999999988,3.7169599999999985
50,50,1.1195519999999988,3.696863999999998
51,51,1.1346239999999987,3.681791999999998
52,52,1.1496959999999987,3.661695999999999
53,53,1.1697919999999993,3.6415999999999986
54,54,1.1848639999999993,3.6265279999999986
55,55,1.204959999999998,3.606431999999998
56,56,1.2150079999999992,3.5863359999999993
57,57,1.2300799999999992,3.5712639999999993
58,58,1.2551999999999985,3.5511679999999988
59,59,1.2652479999999997,3.536095999999999
60,60,1.2853439999999985,3.5159999999999982
61,61,1.3004159999999985,3.5009279999999983
62,62,1.3154879999999984,3.4858559999999983
63,63,1.335583999999999,3.4657599999999995
64,64,1.350655999999999,3.4557119999999983
65,65,1.365727999999999,3.4406399999999984
66,66,1.380799999999999,3.4255679999999984
67,67,1.4008959999999995,3.400447999999999
68,68,1.4209919999999983,3.385375999999999
69,69,1.4360639999999982,3.3652799999999985
70,70,1.4511359999999982,3.3502079999999985
71,71,1.4662079999999982,3.325087999999999
72,72,1.4863039999999987,3.310015999999999
73,73,1.5013759999999987,3.294943999999999
74,74,1.5214719999999993,3.2748479999999986
75,75,1.5365439999999992,3.2597759999999987
76,76,1.5516159999999992,3.2447039999999987
77,77,1.571711999999998,3.224607999999998
78,78,1.5867839999999998,3.209535999999998
79,79,1.6018559999999997,3.194463999999998
80,80,1.6169279999999997,3.1743679999999994
81,81,1.6319999999999997,3.154271999999999
82,82,1.6520959999999985,3.139199999999999
83,83,1.6671679999999984,3.124127999999999
84,84,1.6822399999999984,3.1040319999999983
85,85,1.702335999999999,3.0839359999999996
86,86,1.717407999999999,3.063839999999999
87,87,1.7375039999999995,3.0537919999999996
88,88,1.7525759999999995,3.0387199999999996
89,89,1.7726719999999982,3.0135999999999985
90,90,1.7877439999999982,2.993503999999998
91,91,1.8028159999999982,2.978431999999998
92,92,1.8178879999999982,2.963359999999998
93,93,1.8379839999999987,2.943263999999999
94,94,1.8530559999999987,2.9231679999999987
95,95,1.8731519999999993,2.9080959999999987
96,96,1.8882239999999992,2.8930239999999987
97,97,1.9032959999999992,2.8779519999999987
98,98,1.923391999999998,2.8628799999999988
99,99,1.938463999999998,2.8377599999999994
100,100,1.9535359999999997,2.8226879999999994
101,101,1.9736319999999985,2.8076159999999994
102,102,1.9836799999999997,2.7925439999999995
103,103,2.0037759999999984,2.772447999999999
104,104,2.023871999999999,2.7523519999999984
105,105,2.0339199999999984,2.7372799999999984
106,106,2.054015999999999,2.7171839999999996
107,107,2.0741119999999995,2.7021119999999996
108,108,2.084159999999999,2.682015999999999
109,109,2.1042559999999995,2.6619199999999985
110,110,2.1243519999999982,2.6468479999999985
111,111,2.144447999999999,2.626751999999998
112,112,2.1595199999999988,2.6167039999999986
113,113,2.169567999999998,2.6016319999999986
114,114,2.184639999999998,2.5765119999999992
115,115,2.2047359999999987,2.5614399999999993
116,116,2.2198079999999987,2.5413439999999987
117,117,2.2399039999999992,2.5312959999999993
118,118,2.254975999999999,2.506175999999998
119,119,2.270047999999999,2.491103999999998
120,120,2.2951679999999985,2.4760319999999982
121,121,2.3052159999999997,2.4609599999999983
122,122,2.3253119999999985,2.4408639999999995
123,123,2.3353599999999997,2.4257919999999995
124,124,2.3554559999999984,2.4107199999999995
125,125,2.3705279999999984,2.3855999999999984
126,126,2.390623999999999,2.3655039999999996
127,127,2.405695999999999,2.3504319999999996
128,128,2.420767999999999,2.3403839999999985
129,129,2.435839999999999,2.3202879999999997
130,130,2.450911999999999,2.3052159999999997
131,131,2.4710079999999994,2.290143999999998
132,132,2.491103999999998,2.270047999999999
133,133,2.5011519999999994,2.254975999999999
134,134,2.521247999999998,2.2348799999999986
135,135,2.536319999999998,2.2198079999999987
136,136,2.551391999999998,2.1946879999999993
137,137,2.5714879999999987,2.1796159999999993
138,138,2.5865599999999986,2.1645439999999994
139,139,2.596607999999998,2.1494719999999994
140,140,2.621727999999999,2.129375999999999
141,141,2.636799999999999,2.114303999999999
142,142,2.651871999999999,2.0942079999999983
143,143,2.666943999999999,2.0791359999999983
144,144,2.6870399999999997,2.0640639999999983
145,145,2.7021119999999996,2.0439679999999996
146,146,2.7222079999999984,2.023871999999999
147,147,2.7372799999999984,2.008799999999999
148,148,2.7523519999999984,1.9887039999999985
149,149,2.7674239999999983,1.9736319999999985
150,150,2.7925439999999995,1.9535359999999997
151,151,2.802591999999999,1.9434879999999986
152,152,2.817663999999999,1.9183679999999992
153,153,2.832735999999999,1.9032959999999992
